Direction of skewing,Left 1,Left 2,Right 1,Right 2
Balanced,1,1,1,1
Skew to the right,1,1,1,2
Skew to the right,1,1,1,3
Skew to the right,1,1,1,4
Skew to the right,1,1,1,5
Skew to the right,1,1,2,1
Skew to the right,1,1,2,2
Skew to the right,1,1,2,3
Skew to the right,1,1,2,4
Skew to the right,1,1,2,5
Skew to the right,1,1,3,1
Skew to the right,1,1,3,2
Skew to the right,1,1,3,3
Skew to the right,1,1,3,4
Skew to the right,1,1,3,5
Skew to the right,1,1,4,1
Skew to the right,1,1,4,2
Skew to the right,1,1,4,3
Skew to the right,1,1,4,4
Skew to the right,1,1,4,5
Skew to the right,1,1,5,1
Skew to the right,1,1,5,2
Skew to the right,1,1,5,3
Skew to the right,1,1,5,4
Skew to the right,1,1,5,5
Skew to the left,1,2,1,1
Balanced,1,2,1,2
Skew to the right,1,2,1,3
Skew to the right,1,2,1,4
Skew to the right,1,2,1,5
Balanced,1,2,2,1
Skew to the right,1,2,2,2
Skew to the right,1,2,2,3
Skew to the right,1,2,2,4
Skew to the right,1,2,2,5
Skew to the right,1,2,3,1
Skew to the right,1,2,3,2
Skew to the right,1,2,3,3
Skew to the right,1,2,3,4
Skew to the right,1,2,3,5
Skew to the right,1,2,4,1
Skew to the right,1,2,4,2
Skew to the right,1,2,4,3
Skew to the right,1,2,4,4
Skew to the right,1,2,4,5
Skew to the right,1,2,5,1
Skew to the right,1,2,5,2
Skew to the right,1,2,5,3
Skew to the right,1,2,5,4
Skew to the right,1,2,5,5
Skew to the left,1,3,1,1
Skew to the left,1,3,1,2
Balanced,1,3,1,3
Skew to the right,1,3,1,4
Skew to the right,1,3,1,5
Skew to the left,1,3,2,1
Skew to the right,1,3,2,2
Skew to the right,1,3,2,3
Skew to the right,1,3,2,4
Skew to the right,1,3,2,5
Balanced,1,3,3,1
Skew to the right,1,3,3,2
Skew to the right,1,3,3,3
Skew to the right,1,3,3,4
Skew to the right,1,3,3,5
Skew to the right,1,3,4,1
Skew to the right,1,3,4,2
Skew to the right,1,3,4,3
Skew to the right,1,3,4,4
Skew to the right,1,3,4,5
Skew to the right,1,3,5,1
Skew to the right,1,3,5,2
Skew to the right,1,3,5,3
Skew to the right,1,3,5,4
Skew to the right,1,3,5,5
Skew to the left,1,4,1,1
Skew to the left,1,4,1,2
Skew to the left,1,4,1,3
Balanced,1,4,1,4
Skew to the right,1,4,1,5
Skew to the left,1,4,2,1
Balanced,1,4,2,2
Skew to the right,1,4,2,3
Skew to the right,1,4,2,4
Skew to the right,1,4,2,5
Skew to the left,1,4,3,1
Skew to the right,1,4,3,2
Skew to the right,1,4,3,3
Skew to the right,1,4,3,4
Skew to the right,1,4,3,5
Balanced,1,4,4,1
Skew to the right,1,4,4,2
Skew to the right,1,4,4,3
Skew to the right,1,4,4,4
Skew to the right,1,4,4,5
Skew to the right,1,4,5,1
Skew to the right,1,4,5,2
Skew to the right,1,4,5,3
Skew to the right,1,4,5,4
Skew to the right,1,4,5,5
Skew to the left,1,5,1,1
Skew to the left,1,5,1,2
Skew to the left,1,5,1,3
Skew to the left,1,5,1,4
Balanced,1,5,1,5
Skew to the left,1,5,2,1
Skew to the left,1,5,2,2
Skew to the right,1,5,2,3
Skew to the right,1,5,2,4
Skew to the right,1,5,2,5
Skew to the left,1,5,3,1
Skew to the right,1,5,3,2
Skew to the right,1,5,3,3
Skew to the right,1,5,3,4
Skew to the right,1,5,3,5
Skew to the left,1,5,4,1
Skew to the right,1,5,4,2
Skew to the right,1,5,4,3
Skew to the right,1,5,4,4
Skew to the right,1,5,4,5
Balanced,1,5,5,1
Skew to the right,1,5,5,2
Skew to the right,1,5,5,3
Skew to the right,1,5,5,4
Skew to the right,1,5,5,5
Skew to the left,2,1,1,1
Balanced,2,1,1,2
Skew to the right,2,1,1,3
Skew to the right,2,1,1,4
Skew to the right,2,1,1,5
Balanced,2,1,2,1
Skew to the right,2,1,2,2
Skew to the right,2,1,2,3
Skew to the right,2,1,2,4
Skew to the right,2,1,2,5
Skew to the right,2,1,3,1
Skew to the right,2,1,3,2
Skew to the right,2,1,3,3
Skew to the right,2,1,3,4
Skew to the right,2,1,3,5
Skew to the right,2,1,4,1
Skew to the right,2,1,4,2
Skew to the right,2,1,4,3
Skew to the right,2,1,4,4
Skew to the right,2,1,4,5
Skew to the right,2,1,5,1
Skew to the right,2,1,5,2
Skew to the right,2,1,5,3
Skew to the right,2,1,5,4
Skew to the right,2,1,5,5
Skew to the left,2,2,1,1
Skew to the left,2,2,1,2
Skew to the left,2,2,1,3
Balanced,2,2,1,4
Skew to the right,2,2,1,5
Skew to the left,2,2,2,1
Balanced,2,2,2,2
Skew to the right,2,2,2,3
Skew to the right,2,2,2,4
Skew to the right,2,2,2,5
Skew to the left,2,2,3,1
Skew to the right,2,2,3,2
Skew to the right,2,2,3,3
Skew to the right,2,2,3,4
Skew to the right,2,2,3,5
Balanced,2,2,4,1
Skew to the right,2,2,4,2
Skew to the right,2,2,4,3
Skew to the right,2,2,4,4
Skew to the right,2,2,4,5
Skew to the right,2,2,5,1
Skew to the right,2,2,5,2
Skew to the right,2,2,5,3
Skew to the right,2,2,5,4
Skew to the right,2,2,5,5
Skew to the left,2,3,1,1
Skew to the left,2,3,1,2
Skew to the left,2,3,1,3
Skew to the left,2,3,1,4
Skew to the left,2,3,1,5
Skew to the left,2,3,2,1
Skew to the left,2,3,2,2
Balanced,2,3,2,3
Skew to the right,2,3,2,4
Skew to the right,2,3,2,5
Skew to the left,2,3,3,1
Balanced,2,3,3,2
Skew to the right,2,3,3,3
Skew to the right,2,3,3,4
Skew to the right,2,3,3,5
Skew to the left,2,3,4,1
Skew to the right,2,3,4,2
Skew to the right,2,3,4,3
Skew to the right,2,3,4,4
Skew to the right,2,3,4,5
Skew to the left,2,3,5,1
Skew to the right,2,3,5,2
Skew to the right,2,3,5,3
Skew to the right,2,3,5,4
Skew to the right,2,3,5,5
Skew to the left,2,4,1,1
Skew to the left,2,4,1,2
Skew to the left,2,4,1,3
Skew to the left,2,4,1,4
Skew to the left,2,4,1,5
Skew to the left,2,4,2,1
Skew to the left,2,4,2,2
Skew to the left,2,4,2,3
Balanced,2,4,2,4
Skew to the right,2,4,2,5
Skew to the left,2,4,3,1
Skew to the left,2,4,3,2
Skew to the right,2,4,3,3
Skew to the right,2,4,3,4
Skew to the right,2,4,3,5
Skew to the left,2,4,4,1
Balanced,2,4,4,2
Skew to the right,2,4,4,3
Skew to the right,2,4,4,4
Skew to the right,2,4,4,5
Skew to the left,2,4,5,1
Skew to the right,2,4,5,2
Skew to the right,2,4,5,3
Skew to the right,2,4,5,4
Skew to the right,2,4,5,5
Skew to the left,2,5,1,1
Skew to the left,2,5,1,2
Skew to the left,2,5,1,3
Skew to the left,2,5,1,4
Skew to the left,2,5,1,5
Skew to the left,2,5,2,1
Skew to the left,2,5,2,2
Skew to the left,2,5,2,3
Skew to the left,2,5,2,4
Balanced,2,5,2,5
Skew to the left,2,5,3,1
Skew to the left,2,5,3,2
Skew to the left,2,5,3,3
Skew to the right,2,5,3,4
Skew to the right,2,5,3,5
Skew to the left,2,5,4,1
Skew to the left,2,5,4,2
Skew to the right,2,5,4,3
Skew to the right,2,5,4,4
Skew to the right,2,5,4,5
Skew to the left,2,5,5,1
Balanced,2,5,5,2
Skew to the right,2,5,5,3
Skew to the right,2,5,5,4
Skew to the right,2,5,5,5
Skew to the left,3,1,1,1
Skew to the left,3,1,1,2
Balanced,3,1,1,3
Skew to the right,3,1,1,4
Skew to the right,3,1,1,5
Skew to the left,3,1,2,1
Skew to the right,3,1,2,2
Skew to the right,3,1,2,3
Skew to the right,3,1,2,4
Skew to the right,3,1,2,5
Balanced,3,1,3,1
Skew to the right,3,1,3,2
Skew to the right,3,1,3,3
Skew to the right,3,1,3,4
Skew to the right,3,1,3,5
Skew to the right,3,1,4,1
Skew to the right,3,1,4,2
Skew to the right,3,1,4,3
Skew to the right,3,1,4,4
Skew to the right,3,1,4,5
Skew to the right,3,1,5,1
Skew to the right,3,1,5,2
Skew to the right,3,1,5,3
Skew to the right,3,1,5,4
Skew to the right,3,1,5,5
Skew to the left,3,2,1,1
Skew to the left,3,2,1,2
Skew to the left,3,2,1,3
Skew to the left,3,2,1,4
Skew to the left,3,2,1,5
Skew to the left,3,2,2,1
Skew to the left,3,2,2,2
Balanced,3,2,2,3
Skew to the right,3,2,2,4
Skew to the right,3,2,2,5
Skew to the left,3,2,3,1
Balanced,3,2,3,2
Skew to the right,3,2,3,3
Skew to the right,3,2,3,4
Skew to the right,3,2,3,5
Skew to the left,3,2,4,1
Skew to the right,3,2,4,2
Skew to the right,3,2,4,3
Skew to the right,3,2,4,4
Skew to the right,3,2,4,5
Skew to the left,3,2,5,1
Skew to the right,3,2,5,2
Skew to the right,3,2,5,3
Skew to the right,3,2,5,4
Skew to the right,3,2,5,5
Skew to the left,3,3,1,1
Skew to the left,3,3,1,2
Skew to the left,3,3,1,3
Skew to the left,3,3,1,4
Skew to the left,3,3,1,5
Skew to the left,3,3,2,1
Skew to the left,3,3,2,2
Skew to the left,3,3,2,3
Skew to the left,3,3,2,4
Skew to the right,3,3,2,5
Skew to the left,3,3,3,1
Skew to the left,3,3,3,2
Balanced,3,3,3,3
Skew to the right,3,3,3,4
Skew to the right,3,3,3,5
Skew to the left,3,3,4,1
Skew to the left,3,3,4,2
Skew to the right,3,3,4,3
Skew to the right,3,3,4,4
Skew to the right,3,3,4,5
Skew to the left,3,3,5,1
Skew to the right,3,3,5,2
Skew to the right,3,3,5,3
Skew to the right,3,3,5,4
Skew to the right,3,3,5,5
Skew to the left,3,4,1,1
Skew to the left,3,4,1,2
Skew to the left,3,4,1,3
Skew to the left,3,4,1,4
Skew to the left,3,4,1,5
Skew to the left,3,4,2,1
Skew to the left,3,4,2,2
Skew to the left,3,4,2,3
Skew to the left,3,4,2,4
Skew to the left,3,4,2,5
Skew to the left,3,4,3,1
Skew to the left,3,4,3,2
Skew to the left,3,4,3,3
Balanced,3,4,3,4
Skew to the right,3,4,3,5
Skew to the left,3,4,4,1
Skew to the left,3,4,4,2
Balanced,3,4,4,3
Skew to the right,3,4,4,4
Skew to the right,3,4,4,5
Skew to the left,3,4,5,1
Skew to the left,3,4,5,2
Skew to the right,3,4,5,3
Skew to the right,3,4,5,4
Skew to the right,3,4,5,5
Skew to the left,3,5,1,1
Skew to the left,3,5,1,2
Skew to the left,3,5,1,3
Skew to the left,3,5,1,4
Skew to the left,3,5,1,5
Skew to the left,3,5,2,1
Skew to the left,3,5,2,2
Skew to the left,3,5,2,3
Skew to the left,3,5,2,4
Skew to the left,3,5,2,5
Skew to the left,3,5,3,1
Skew to the left,3,5,3,2
Skew to the left,3,5,3,3
Skew to the left,3,5,3,4
Balanced,3,5,3,5
Skew to the left,3,5,4,1
Skew to the left,3,5,4,2
Skew to the left,3,5,4,3
Skew to the right,3,5,4,4
Skew to the right,3,5,4,5
Skew to the left,3,5,5,1
Skew to the left,3,5,5,2
Balanced,3,5,5,3
Skew to the right,3,5,5,4
Skew to the right,3,5,5,5
Skew to the left,4,1,1,1
Skew to the left,4,1,1,2
Skew to the left,4,1,1,3
Balanced,4,1,1,4
Skew to the right,4,1,1,5
Skew to the left,4,1,2,1
Balanced,4,1,2,2
Skew to the right,4,1,2,3
Skew to the right,4,1,2,4
Skew to the right,4,1,2,5
Skew to the left,4,1,3,1
Skew to the right,4,1,3,2
Skew to the right,4,1,3,3
Skew to the right,4,1,3,4
Skew to the right,4,1,3,5
Balanced,4,1,4,1
Skew to the right,4,1,4,2
Skew to the right,4,1,4,3
Skew to the right,4,1,4,4
Skew to the right,4,1,4,5
Skew to the right,4,1,5,1
Skew to the right,4,1,5,2
Skew to the right,4,1,5,3
Skew to the right,4,1,5,4
Skew to the right,4,1,5,5
Skew to the left,4,2,1,1
Skew to the left,4,2,1,2
Skew to the left,4,2,1,3
Skew to the left,4,2,1,4
Skew to the left,4,2,1,5
Skew to the left,4,2,2,1
Skew to the left,4,2,2,2
Skew to the left,4,2,2,3
Balanced,4,2,2,4
Skew to the right,4,2,2,5
Skew to the left,4,2,3,1
Skew to the left,4,2,3,2
Skew to the right,4,2,3,3
Skew to the right,4,2,3,4
Skew to the right,4,2,3,5
Skew to the left,4,2,4,1
Balanced,4,2,4,2
Skew to the right,4,2,4,3
Skew to the right,4,2,4,4
Skew to the right,4,2,4,5
Skew to the left,4,2,5,1
Skew to the right,4,2,5,2
Skew to the right,4,2,5,3
Skew to the right,4,2,5,4
Skew to the right,4,2,5,5
Skew to the left,4,3,1,1
Skew to the left,4,3,1,2
Skew to the left,4,3,1,3
Skew to the left,4,3,1,4
Skew to the left,4,3,1,5
Skew to the left,4,3,2,1
Skew to the left,4,3,2,2
Skew to the left,4,3,2,3
Skew to the left,4,3,2,4
Skew to the left,4,3,2,5
Skew to the left,4,3,3,1
Skew to the left,4,3,3,2
Skew to the left,4,3,3,3
Balanced,4,3,3,4
Skew to the right,4,3,3,5
Skew to the left,4,3,4,1
Skew to the left,4,3,4,2
Balanced,4,3,4,3
Skew to the right,4,3,4,4
Skew to the right,4,3,4,5
Skew to the left,4,3,5,1
Skew to the left,4,3,5,2
Skew to the right,4,3,5,3
Skew to the right,4,3,5,4
Skew to the right,4,3,5,5
Skew to the left,4,4,1,1
Skew to the left,4,4,1,2
Skew to the left,4,4,1,3
Skew to the left,4,4,1,4
Skew to the left,4,4,1,5
Skew to the left,4,4,2,1
Skew to the left,4,4,2,2
Skew to the left,4,4,2,3
Skew to the left,4,4,2,4
Skew to the left,4,4,2,5
Skew to the left,4,4,3,1
Skew to the left,4,4,3,2
Skew to the left,4,4,3,3
Skew to the left,4,4,3,4
Skew to the left,4,4,3,5
Skew to the left,4,4,4,1
Skew to the left,4,4,4,2
Skew to the left,4,4,4,3
Balanced,4,4,4,4
Skew to the right,4,4,4,5
Skew to the left,4,4,5,1
Skew to the left,4,4,5,2
Skew to the left,4,4,5,3
Skew to the right,4,4,5,4
Skew to the right,4,4,5,5
Skew to the left,4,5,1,1
Skew to the left,4,5,1,2
Skew to the left,4,5,1,3
Skew to the left,4,5,1,4
Skew to the left,4,5,1,5
Skew to the left,4,5,2,1
Skew to the left,4,5,2,2
Skew to the left,4,5,2,3
Skew to the left,4,5,2,4
Skew to the left,4,5,2,5
Skew to the left,4,5,3,1
Skew to the left,4,5,3,2
Skew to the left,4,5,3,3
Skew to the left,4,5,3,4
Skew to the left,4,5,3,5
Skew to the left,4,5,4,1
Skew to the left,4,5,4,2
Skew to the left,4,5,4,3
Skew to the left,4,5,4,4
Balanced,4,5,4,5
Skew to the left,4,5,5,1
Skew to the left,4,5,5,2
Skew to the left,4,5,5,3
Balanced,4,5,5,4
Skew to the right,4,5,5,5
Skew to the left,5,1,1,1
Skew to the left,5,1,1,2
Skew to the left,5,1,1,3
Skew to the left,5,1,1,4
Balanced,5,1,1,5
Skew to the left,5,1,2,1
Skew to the left,5,1,2,2
Skew to the right,5,1,2,3
Skew to the right,5,1,2,4
Skew to the right,5,1,2,5
Skew to the left,5,1,3,1
Skew to the right,5,1,3,2
Skew to the right,5,1,3,3
Skew to the right,5,1,3,4
Skew to the right,5,1,3,5
Skew to the left,5,1,4,1
Skew to the right,5,1,4,2
Skew to the right,5,1,4,3
Skew to the right,5,1,4,4
Skew to the right,5,1,4,5
Balanced,5,1,5,1
Skew to the right,5,1,5,2
Skew to the right,5,1,5,3
Skew to the right,5,1,5,4
Skew to the right,5,1,5,5
Skew to the left,5,2,1,1
Skew to the left,5,2,1,2
Skew to the left,5,2,1,3
Skew to the left,5,2,1,4
Skew to the left,5,2,1,5
Skew to the left,5,2,2,1
Skew to the left,5,2,2,2
Skew to the left,5,2,2,3
Skew to the left,5,2,2,4
Balanced,5,2,2,5
Skew to the left,5,2,3,1
Skew to the left,5,2,3,2
Skew to the left,5,2,3,3
Skew to the right,5,2,3,4
Skew to the right,5,2,3,5
Skew to the left,5,2,4,1
Skew to the left,5,2,4,2
Skew to the right,5,2,4,3
Skew to the right,5,2,4,4
Skew to the right,5,2,4,5
Skew to the left,5,2,5,1
Balanced,5,2,5,2
Skew to the right,5,2,5,3
Skew to the right,5,2,5,4
Skew to the right,5,2,5,5
Skew to the left,5,3,1,1
Skew to the left,5,3,1,2
Skew to the left,5,3,1,3
Skew to the left,5,3,1,4
Skew to the left,5,3,1,5
Skew to the left,5,3,2,1
Skew to the left,5,3,2,2
Skew to the left,5,3,2,3
Skew to the left,5,3,2,4
Skew to the left,5,3,2,5
Skew to the left,5,3,3,1
Skew to the left,5,3,3,2
Skew to the left,5,3,3,3
Skew to the left,5,3,3,4
Balanced,5,3,3,5
Skew to the left,5,3,4,1
Skew to the left,5,3,4,2
Skew to the left,5,3,4,3
Skew to the right,5,3,4,4
Skew to the right,5,3,4,5
Skew to the left,5,3,5,1
Skew to the left,5,3,5,2
Balanced,5,3,5,3
Skew to the right,5,3,5,4
Skew to the right,5,3,5,5
Skew to the left,5,4,1,1
Skew to the left,5,4,1,2
Skew to the left,5,4,1,3
Skew to the left,5,4,1,4
Skew to the left,5,4,1,5
Skew to the left,5,4,2,1
Skew to the left,5,4,2,2
Skew to the left,5,4,2,3
Skew to the left,5,4,2,4
Skew to the left,5,4,2,5
Skew to the left,5,4,3,1
Skew to the left,5,4,3,2
Skew to the left,5,4,3,3
Skew to the left,5,4,3,4
Skew to the left,5,4,3,5
Skew to the left,5,4,4,1
Skew to the left,5,4,4,2
Skew to the left,5,4,4,3
Skew to the left,5,4,4,4
Balanced,5,4,4,5
Skew to the left,5,4,5,1
Skew to the left,5,4,5,2
Skew to the left,5,4,5,3
Balanced,5,4,5,4
Skew to the right,5,4,5,5
Skew to the left,5,5,1,1
Skew to the left,5,5,1,2
Skew to the left,5,5,1,3
Skew to the left,5,5,1,4
Skew to the left,5,5,1,5
Skew to the left,5,5,2,1
Skew to the left,5,5,2,2
Skew to the left,5,5,2,3
Skew to the left,5,5,2,4
Skew to the left,5,5,2,5
Skew to the left,5,5,3,1
Skew to the left,5,5,3,2
Skew to the left,5,5,3,3
Skew to the left,5,5,3,4
Skew to the left,5,5,3,5
Skew to the left,5,5,4,1
Skew to the left,5,5,4,2
Skew to the left,5,5,4,3
Skew to the left,5,5,4,4
Skew to the left,5,5,4,5
Skew to the left,5,5,5,1
Skew to the left,5,5,5,2
Skew to the left,5,5,5,3
Skew to the left,5,5,5,4
Balanced,5,5,5,5
